职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
行政助理 - 写字楼物业营运部 Admin Assistant,7-9千·13薪,上海·浦东新区,无需经验,本科,上海东袤置业有限公司,房地产,合资,50-150人,五险一金;补充医疗保险;带薪年假;带薪病假;年终奖金;定期体检;零食下午茶;免费班车,office;copying;secretarial,
营运专员-香雪城购物中心,5.5-6.5千·14薪,广州·黄埔区,1年及以上,本科,保利商旅产业发展有限公司,酒店/旅游,国企,5000-10000人,五险一金;年终奖金;定期体检;餐饮补贴;补充医疗保险,,
新媒体运营,7千-1万,嘉兴,3年及以上,大专,财纳福诺家居（中国）有限公司,家居/室内设计/装潢,外资（非欧美）,1000-5000人,五险一金,抖音;微信公众号;新媒体运营;微博;日常运营;视频;新媒体平台;用户互动;策划线上活动;分析平台数据,
电商商户运营专员,8千-1万·13薪,西安·高新技术产业开发区,3年及以上,本科,西安亚购信息科技有限公司,互联网/电子商务,民营,50-150人,五险一金;带薪年假;出国机会;专业培训;定期体检;零食下午茶;有餐补,商户入驻;商户开发;数据汇报;定期团建,
连锁门店片区运营经理,9千-1.1万,昆明,5年及以上,大专,昆明冠生园食品有限公司,快速消费品(食品、饮料、化妆品),民营,500-1000人,五险一金,管理;客诉;产品质量;日常运营;监督执行;经营指标分解;开新店,销售数据
独立站运营经理,8千-1.6万,东莞·南城区,5年及以上,大专,东莞市永盛进出口有限公司,贸易/进出口,民营,少于50人,培训;五险;带薪年假,机械;团队管理;电子商务;化工;seo;案例分析;定位规划,市场营销 品牌推广 运营策略
食堂运营负责人,7-8千·15薪,苏州·苏州工业园区,3年及以上,大专,苏州工业园区恒泰第一太平物业管理有限公司,物业管理/商业中心,国企,500-1000人,五险一金;年终奖金;餐饮补贴,数据分析;成本控制;食品;酒店管理;食品安全管理;安全生产制度;团餐管理;运营管理,
短视频运营,7千-1.2万,重庆·渝中区,3年及以上,大专,重庆鸣之翼体育用品有限公司,娱乐/休闲/体育,民营,未知,,抖音;短视频;视频制作;后期剪辑;自媒体;粉丝互动;短视频平台;短视频策划;短视频创作;内容传播,
抖音电商运营,4-5千,重庆·渝北区,1-3年,大专,重庆饭巢品牌管理有限公司,快速消费品(食品、饮料、化妆品),民营,150-500人,员工旅游;五险,运营管理;抖音;店铺运营;订单处理;管理库存;商品上架;gmv;优惠券;流量转化,店铺营销
短视频运营,6千-1万,常州·新北区,1-3年,本科,常州三泰科技有限公司,仪器仪表/工业自动化,民营,150-500人,五险一金;绩效奖金,数据分析;产品推广;抖音;电商;视频剪辑;后期制作;直播运营;短视频拍摄;剪映,客户服务
2026届管培生-营运助理,1.2-1.3万,宜昌,无需经验,本科,宜昌万达广场商业管理有限公司,物业管理/商业中心,民营,50-150人,,,
外卖运营总监（老韩煸鸡）,2-3万,上海·长宁区,8年及以上,大专,湖北老韩煸鸡煸道食品有限公司,餐饮业,民营,150-500人,培训,外卖;美团;第三方平台;运营指标;线上运营推广;平台运营;团购;管理体系;大平台,社群营销 线上营销
家装产业工人经理 / 工长运营经理,8千-1.5万,佛山·顺德区,3年及以上,中技/中专,广东美城建筑工程科技有限公司,建筑/建材/工程,民营,150-500人,培训;入职培训;五险,施工;办公软件;项目管理;建筑工程;施工图纸;施工工艺;安全管理;装修,
营业管理培训生,6-6.5千·13薪,大连·金州区,1年,本科,大连文鑫企业服务有限公司,专业服务(咨询、人力资源、财会),民营,50-150人,五险一金;年终奖金;定期体检;节日福利;带薪年假;免费班车;包吃;包住宿;管理培训,日语;营业;生产文员,
即时零售运营主管/经理,1-1.5万,广州,5年及以上,大专,广州市泰奇食品有限公司,快速消费品(食品、饮料、化妆品),外资（非欧美）,500-1000人,五险一金;专业培训,快消品行业;运营管理;电子商务;促销方案;即时购;社区团购;闪电仓;小象;朴朴,客户开发
电商运营,5-8千,贵阳,1年及以上,本科,西咸新区空港新城聚傲铭宇百货店（个体工商户）,互联网/电子商务,民营,少于50人,五险一金,,
新媒体运营（英语/日语/韩语/泰语）,9千-1.3万,上海,1年及以上,本科,上海微创软件股份有限公司,计算机软件,合资,10000人以上,员工旅游;专业培训,数据分析;photoshop;日语;设计软件;视频剪辑;文案策划;韩语;泰语;短视频剪辑;figma,
会员运营经理,1-1.5万,宁波·高新区,3年及以上,本科,鸿济元（宁波）医药管理有限公司,制药/生物工程,民营,150-500人,五险一金;年终奖金;定期体检;带薪年假;节日福利;股票期权;带薪病假;零食下午茶,私域运营;社群运营,用户增长
充电站运营岗,1-2万·13薪,佛山·禅城区,3年及以上,大专,广东和筑科技工程有限公司,建筑/建材/工程,民营,500-1000人,年终奖金;晋升空间大,充电站运营;场站运营;充电桩;新能源;社会保险;免费午餐;领导好,
营运经理,1-1.2万,上海·徐汇区,5-7年,大专,上海都心商业管理有限公司,物业管理/商业中心,民营,50-150人,五险一金,运营管理;营运管理;营运;商场运营管理;经营数据;营运制度;商业地产公司;商业营运管理;经营计划,
天猫运营店长（五险一金/双休）,8千-1万,武汉·江汉区,3年及以上,大专,武汉天润健康产品有限公司,快速消费品(食品、饮料、化妆品),民营,150-500人,五险一金,运营;天猫;化妆品行业;运营计划;护肤品;seo优化;店铺运营管理;产品详情页;数据分析软件;商品策略,
餐饮运营督导,8千-1.2万,广州·番禺区,5年及以上,大专,广东同熙实业发展有限公司,房地产,民营,50-150人,人员培训;专业培训;节日福利;带薪年假,成本控制;食品安全;人才培养;多店管理;业绩目标;控制运营成本;新店筹建,
TEMU跨境电商运营主管,1.2-1.5万,广州·番禺区,5年及以上,本科,广州市宏视电子技术有限公司,计算机软件,民营,150-500人,培训,运营;英语;国际贸易;电子商务;推广计划;晋升机制;团队建设,销售 市场营销 销售策略
TEMU运营,5-8千·13薪,成都·金牛区,3年及以上,本科,成都市和天创科技股份有限公司,计算机软件,民营,150-500人,带薪年假;绩效奖金,数据分析;测试;市场调研;客户沟通;运营管理;店铺运营;推广计划;kpi,销售策略 营销策略
内贸业务员/电商运营/业务销售,4-8千,郑州·中牟县,1年及以上,大专,河南菲浦斯电器有限公司,家具/家电/玩具/礼品,民营,少于50人,,,
商场营运经理,1.2-1.6万,广州,5年及以上,大专,广州市嘉裕太阳城物业管理有限公司,物业管理/商业中心,民营,150-500人,绩效管理;五险一金,物业管理;人员管理;洽谈;企业文化建设;经营分析;组织管理;品质检查;装修管理,销售
抖音运营人员,5千-1万,宁波·镇海区,2年及以上,大专,宁波德腾家居用品有限公司,贸易/进出口,民营,50-150人,带薪年假;年终奖金;绩效奖金;专业培训;五险一金;单双休;包住;有餐补;出差补贴;带薪病假,大平台;定期团建,
商业营运经理,1-1.5万·14薪,泰州·靖江市,5-7年,本科,印力商用置业有限公司,房地产,合资,1000-5000人,带薪年假;五险一金;节日福利;周末双休;做五休二,商场;营运,
跨境电商运营,6千-1.2万,深圳·龙岗区,1年及以上,本科,深圳市阿拉丁拉美跨境商务咨询服务有限公司,互联网/电子商务,民营,少于50人,专业培训;绩效奖金;员工旅游;深圳二档社保,美客多;跨境店,
运营质量管理岗,1.5-2.5万,上海·闵行区,5年及以上,硕士,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),合资,5000-10000人,培训;五险一金,客服;qc;客户投诉;质量工具;过程管控;质量审核;质量攻关;质量文化建设;运营质量;质量改进,
