职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
ai产品经理（福利健全）,2-3万,合肥·高新区,3-5年,本科,猎创企聘（四川）科技有限公司,专业服务(咨询、人力资源、财会),民营,150-500人,福利健全;五险一金,计算机;开发;ppt;软件工程;产品设计;axure;xmind;ai;云计算;人工智能;市场团队,
产品结构负责人,2-3万,深圳·南山区,8年及以上,大专,深圳辛恩励科技有限公司,家具/家电/玩具/礼品,民营,少于50人,五险一金;年终奖金,模具;结构设计;水泵;dv;设计验证;pv;结构分析;生产验证;整机结构设计;技术接口,
NPI新产品导入工程师,6-9千,宿迁,3年及以上,本科,长电科技（宿迁）有限公司,电子技术/半导体/集成电路,民营,1000-5000人,五险一金;年终奖金;补充医疗保险;带薪年假;包吃包住,,
销售技术顾问（AGV产品方向）,1-1.5万,佛山·顺德区,3年及以上,本科,广东嘉腾机器人自动化有限公司,机械/设备/重工,民营,500-1000人,五险一金;专业培训;定期体检;带薪年假;节日福利;免费班车;培训;技术培训,分析报告;线上授课;agv;产品迭代,
高精度产品研发负责人/经理,2.5-3.5万·15薪,上海·青浦区,8年及以上,本科,上海普适导航科技股份有限公司,通信/电信运营、增值服务,已上市,150-500人,培训;五险一金;交通补贴;餐饮补贴,导航;rtk;研发计划;通信;产品研发;北斗;高精度;嵌入式软件;硬件,
工控类产品采购专员,7千-1.2万,广州·番禺区,3年及以上,本科,广州数辰科技有限公司,机械/设备/重工,民营,少于50人,五险一金;补充医疗保险;带薪年假;带薪病假;员工旅游;年终奖金;绩效奖金;项目奖金;专业培训,环境舒适;定期团建,
AI产品经理,1-1.7万·14薪,苏州·苏州工业园区,2-3年,本科,贯文网络科技（苏州）有限公司,计算机软件,民营,50-150人,五险一金;带薪年假;年终奖金;绩效奖金;项目奖金;专业培训;定期体检,ai;项目;产品经理;产品策略;多任务处理,
产品工艺工程师,6千-1万,佛山·顺德区,1年及以上,本科,广东嘉腾机器人自动化有限公司,机械/设备/重工,民营,500-1000人,五险一金;专业培训,机械;自动化;现场调试;ecn;电子电路;生产工艺流程;工艺技术;设计评审;设计出图;ecr,
国际产品项目管理经理,1.5-2.5万,上海·浦东新区,5-7年,本科,艾郎科技股份有限公司,新能源,民营,1000-5000人,五险一金;餐饮补贴,项目经理,
园林工具产品经理,2-2.5万·14薪,杭州·上城区,8年及以上,本科,杭州巨星科技股份有限公司,机械/设备/重工,已上市,5000-10000人,五险一金;餐饮补贴;年终奖金;定期体检;员工宿舍,产品开发;品质管理;竞品分析;新产品开发;产品定义;检验规程,
移动产品经理,5千-1万,,5年及以上,大专,河南岑琅供应链有限公司,贸易/进出口,民营,未知,弹性工作,移动APP开发;IT产品;远程办公,
产品医学经理,2-2.5万·14薪,广州·黄埔区,5年及以上,硕士,广东子健创和医药生物科技有限公司,医疗/护理/卫生,民营,50-150人,五险一金;年终奖金;绩效奖金;定期体检;餐饮补贴;员工旅游;带薪年假;节日福利;弹性工作;周末双休;补充医疗保险,,
人才优选—产品运营岗G00675,7-8千,深圳·罗湖区,2年及以上,本科,深圳市人力资源服务有限公司,专业服务(咨询、人力资源、财会),国企,1000-5000人,带薪年假;周末双休;五险一金;员工福利,产品开发;供应链管理;电商平台;产品运营;项目交付;数据分析;采购管理,
产品经理（B端）,1.8-2.5万,上海·静安区,3-4年,本科,上海尚雍电子技术工程有限公司,通信/电信/网络设备,合资,150-500人,,产品需求分析;原型设计;物联网;产品文档;wms;erp;市场洞察力,
产品工程师,6-9千,无锡·新吴区,1-3年,本科,无锡维邦工业设备成套技术有限公司,制药/生物工程,民营,150-500人,定期体检;五险一金;节日福利;带薪年假;交通补贴;双休;培训;健康体检;假日福利,工作餐;职业发展;团队氛围,
新产品导入（NPI）工程师,8千-1.5万,株洲·天元区,3年及以上,大专,株洲麦格米特电气有限责任公司,电子技术/半导体/集成电路,已上市,1000-5000人,五险一金;年终奖金,产品设计;试产;dfm;产线异常处理;doe;客户审核;dft;中试;可行性评估;样机试制,
非标产品结构设计工程师,1-1.5万,日照·岚山区,3年及以上,本科,巡航（苏州）新材料技术有限公司,原材料和加工,民营,少于50人,五险一金,,
软件产品经理,1.5-2万,佛山·禅城区,1-3年,本科,广东艾科智泊科技股份有限公司,电子技术/半导体/集成电路,民营,150-500人,五险一金;带薪年假,数据分析;需求分析;需求调研;软件工程;产品开发;ai;物联网;智慧停车;道闸门禁,产品规划
亚马逊产品开发,7千-1.2万,上海·闵行区,2年及以上,大专,上海同致汽车配件有限公司,贸易/进出口,民营,150-500人,五险一金;专业培训;周末双休;带薪年假;绩效奖金,新市场开拓,销售
PE工程师（个人护理产品）,1.2-1.5万·14薪,东莞·莞城区,3年及以上,大专,宁波智龙科技有限公司,电子技术/半导体/集成电路,民营,1000-5000人,,电吹风;吹风机;高速吹风机;直发器;卷发棒,
产品设计（机构）工程师,1.5-2.5万,苏州·相城区,2年及以上,本科,东莞领益精密制造科技有限公司,原材料和加工,民营,10000人以上,五险一金;带薪年假;年终奖金;绩效奖金;项目奖金,solidworks;creo;toefl;c2;toeic;english;autocad;ielts,
产品结构负责人,2-3万,深圳·南山区,8年及以上,大专,深圳辛恩励科技有限公司,家具/家电/玩具/礼品,民营,少于50人,五险一金;年终奖金,模具;结构设计;水泵;dv;设计验证;pv;结构分析;生产验证;整机结构设计;技术接口,
产品结构工程师,8千-1.2万,重庆·铜梁区,3年及以上,大专,重庆市威诺华光电科技有限公司,电子技术/半导体/集成电路,民营,500-1000人,,,
中山市—急诊、妇科产品推广专员,5千-1万·13薪,中山·石岐区,2年及以上,大专,广州健兰生物制品有限公司,制药/生物工程,民营,50-150人,五险一金;绩效奖金;专业培训;定期体检;交通补贴,药学;学术推广;预防医学;妇产科;货款催收;急诊科,市场营销
产品经理,1.5-3万,广州·番禺区,2年及以上,本科,山东每日良食食品有限公司,快速消费品(食品、饮料、化妆品),民营,150-500人,年终奖金;餐饮补贴;通讯补贴,快消品行业;市场调研;产品宣传;产品;产品知识;市场研究,销售 营销方案 产品规划
产品工程师,7-9千·13薪,嘉兴·平湖市,1-3年,本科,上海文洲信息科技有限公司,通信/电信/网络设备,民营,未知,五险一金;年终奖金;带薪年假;补充医疗保险,CAD;英文,
