职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
应付账款专员 / 财务出纳,3-5千,红河州·蒙自市,1-3年,大专,国药器械（云南）医疗技术有限公司,医疗设备/器械,国企,50-150人,免费班车;餐饮补贴;五险一金;专业培训;定期体检;公寓宿舍;员工食堂;双休;员工旅游;交通补贴;通讯补贴,健身房,
财务助理,5-6.5千,深圳·宝安区,1年,大专,深圳场道工程有限公司,建筑/建材/工程,民营,50-150人,带薪年假;餐饮补贴;周末双休;五险;节假日福利,财务报表;核算;报销;审核报销单据,
财务总监,2-4万,宁波·慈溪市,10年及以上,本科,鼎承商务咨询（宁波）有限公司,专业服务(咨询、人力资源、财会),民营,未知,,数据分析;财务;会计;财务管理;成本控制;成本核算;成本管理;成本预算;数据洞察;业务优化,
行政文员（兼财务）,5-8千,广州·白云区,1-5年,大专,广州诺然生物科技有限公司,快速消费品(食品、饮料、化妆品),民营,50-150人,五险一金;餐饮补贴;交通补贴;员工旅游;专业培训;出国机会;绩效奖金;年终奖金,,
财务兼行政专员,6.5-8.5千·13薪,上海·闵行区,3年及以上,本科,苏州元联商业运营管理有限公司,物业管理/商业中心,合资,少于50人,五险一金;带薪年假;餐饮补贴;高温补贴;节日福利;加班补贴,资料归档;印章管理;报表统计;财务账套;财务账册,
核算综合岗,1-2万,南宁,4年及以上,本科,广西广投产业链服务集团有限公司,多元化业务集团公司,国企,150-500人,五险一金;带薪年假;绩效奖金;专业培训;定期体检;通讯补贴;交通补贴;项目奖金,大宗商品贸易;大宗商品;免费工作餐,
财务/会计,4.5-6千·13薪,无锡·锡山区,1年及以上,大专,无锡双隆不锈钢有限公司,贸易/进出口,民营,少于50人,,单休;补助;节假日;法定节假;午餐,
财务出纳,6-7千,无锡·新吴区,2年及以上,大专,无锡升和电机制造有限公司,汽车,合资,150-500人,五险一金;年终奖金;绩效奖金;专业培训;定期体检;带薪年假;节假日福利,大小休,
财务经理,8千-1.2万·14薪,武汉·洪山区,5年及以上,本科,真奥药业集团有限公司,制药/生物工程,民营,500-1000人,人员培训;专业培训;餐饮补贴,办公软件;管理;财务;医药行业;财务管理;团队管理;团队建设;日常管理;成本管控,
财务主管-子公司,6-8千,保定·高碑店市,3年及以上,大专,重庆哈威鲜品供应链科技有限公司,快速消费品(食品、饮料、化妆品),民营,50-150人,五险一金;周末双休,excel;财务;财务管理;电商;审核核算;账务处理;月休4天,
出纳兼财务助理,7-9千,杭州·余杭区,无需经验,,杭州叶颐商贸有限公司,贸易/进出口,民营,未知,五险一金;年终奖金;专业培训;双休,,
财务副总监（快消饮品行业）,2.5-3万,杭州·滨江区,8年及以上,本科,安徽英贝健贸易有限公司,贸易/进出口,民营,未知,培训,excel;财务;erp;审计;团队管理;财务核算;费用管控;cpa;bi,
财务经理,7-9千,武威,3年及以上,本科,新希望六和股份有限公司,农/林/牧/渔,已上市,10000人以上,,财务;预算;财务管理;财务报表;税务;税务筹划;资金管理;中级会计师;经营数据;产业财务,
财务核算主管,13-15万/年,江门,10年及以上,本科,广东利华乐寓家具有限公司,家具/家电/玩具/礼品,民营,1000-5000人,节日福利;带薪年假;五险;包住宿;生日福利,团建活动丰富;开工红包;工作环境优美,
财务专员,4-6千,南京·江宁区,1年及以上,本科,江苏奇冠药店有限公司,批发/零售,民营,500-1000人,,财务;erp;会计;对账;盘点;税务,
